,BẢNG QUY ĐỔI 02,,
MÃ QUY ƯỚC - EEEE,MÃ MÀU NCC,D,TenD
0272,CK3601-82,M,Melamine
0273,CK3605-10,M,Melamine
0274,CK3617-2,M,Melamine
0275,CK3619-52,M,Melamine
0276,CK7508-20,M,Melamine
0277,CK7516-5,M,Melamine
0278,CK9000-645,M,Melamine
0279,CK9158-12,M,Melamine
0280,CK9161-4T,M,Melamine
0281,CK9611-10,M,Melamine
0282,CK9615-91,M,Melamine
0283,CK9629-4,M,Melamine
0284,CK9636-7,M,Melamine
0285,CK9640-1,M,Melamine
0286,CK9645-2,M,Melamine
0287,3909-06,M,Melamine
0288,BT001,M,Melamine
0289,BT002,M,Melamine
0290,BT003,M,Melamine
0291,BT008,M,Melamine
0292,BT009,M,Melamine
0293,BT022,M,Melamine
0294,BT030,M,Melamine
0295,BT038,M,Melamine
0296,BT041,M,Melamine
0297,BT1010,M,Melamine
0298,BT106,M,Melamine
0299,BT110,M,Melamine
0300,ID01036A-2TB,M,Melamine
0301,ID01036A-4TB,M,Melamine
0302,ID01036A-7TB,M,Melamine
0303,ID01041-2TB,M,Melamine
0304,ID01041-3TB,M,Melamine
0305,ID01041-6TB,M,Melamine
0306,ID01042A-5TB,M,Melamine
0307,ID01042A-6TB,M,Melamine
0308,ID02027-6P,M,Melamine
0309,ID02030,M,Melamine
0310,ID02030-4,M,Melamine
0311,ID02032-10P,M,Melamine
0312,ID02032-3P,M,Melamine
0313,ID02032-5P,M,Melamine
0314,ID07075,M,Melamine
0315,ID07075-5,M,Melamine
0316,ID07079A-1TB,M,Melamine
0317,ID07081-4,M,Melamine
0318,ID07085A-1TB,M,Melamine
0319,ID07085A-3TB,M,Melamine
0320,ID07087A-3TB,M,Melamine
0321,ID07087A-6TB,M,Melamine
0322,ID07088-2,M,Melamine
0323,ID07090-3,M,Melamine
0324,ID07095-3,M,Melamine
0325,ID11044-6P,M,Melamine
0326,ID11046-5P,M,Melamine
0327,ID11052-1,M,Melamine
0328,ID11052-3,M,Melamine
0329,ID12044A-2TB,M,Melamine
0330,ID12044A-4TB,M,Melamine
0331,ID12044A-6TB,M,Melamine
0332,ID12047A-2TBP,M,Melamine
0333,ID12047A-4TBP,M,Melamine
0334,ID15028-2P,M,Melamine
0335,SL15033-4P,M,Melamine
0336,HT02CA-08,A,Acrylic
0337,HT8239,A,Acrylic
0338,HT8261-B,A,Acrylic
0339,HT827,A,Acrylic
0340,HT8279,A,Acrylic
0341,HT827-B,A,Acrylic
0342,HT03CA-08,A,Acrylic
0343,HT04CA-08,A,Acrylic
0344,HT873-B,A,Acrylic
0345,HT05CA-08,A,Acrylic
